,Name,Type,City,Associated Entity,Associated Terms
129,Eric Gany,Person,Wilton,,
130,Garage,Entity,New York,,
131,Cheryl Gaydas,Person,New York,Fairchild Corporation,
132,Darlene Gaydas,Person,New York,,
133,William Geffers,Person,Chicago,The Industrial Bank of Japan,
134,Les Gelb,Person,,Council on Foreign Relations,
135,Ann Getty,Person,San Francisco,,
136,Jim Gibson,Person,Washington,,
137,Kenneth Gilman,Person,Columbus,"The Limited, Inc.",
138,Howard Gittis,Person,New York,MacAndrews,
139,Hubert de Givenchy,Person,Paris,,
140,Dan Glickman,Person,Washington,,
141,Bob Gold,Person,Westport,"McDermott, Wohl Emery",
142,Stanley Gold,Person,Burbank,"Shamrock Holdings, Inc.",
143,Dr. Nick Goldberg,Person,,The Brain Institute,
144,Bob Goldsandt,Person,Los Angeles,Product Resources,
145,Jerry Goldsmith,Person,,,
146,Isabel Goldsmith,Person,Beverly Hills,,
147,Bob Goodman,Person,Englishtown,,
148,Francis Goodman,Person,Brooklyn,,
149,Rita Goodman,Person,Englishtown,,
150,Alan Gordon,Person,,,
151,Edward S. Gordon,Person,New York,Edward S. Gordon Company,
152,Matt A. Gorman,Person,Bethesda,U.S. Treasury Department,
153,Stephen Jay Gould,Person,Cambridge,"Museum of Comparative Zoology, Harvard University",
154,Alan (Ace) Greenberg,Person,New York,Bear Stearns,
155,Ted Greenberg,Person,New York,ABD,
156,Christina Greeven,Person,New York,Manhattan File,
157,David Grosof,Person,Clayton,Central Institute for the Deaf,
158,Pamela Gross,Person,New York,,
159,Charles Hack,Person,,,
160,Susan Guttfreund,Person,,,
161,John Guttfreund,Person,,,
162,Elena Hahn,Person,,J.P. Morgan,
163,MaryLynn Halland,Person,New York,,
164,Carl Hamman,Person,Mount Stirling,Lower Gwynne,
165,Steve Hanson,Person,New York,,
166,Jill Harth,Person,,American Dream,
167,Galila Hashemi,Person,London,,
168,Alex Hayes,Person,New York,,
169,Carrie Hayes,Person,New York,Missbrenner,
170,Gregory Hedberg,Person,New York,Hirschel & Adler Art Gallery,
171,Christy Hefner,Person,Chicago,Playboy Enterprises Inc.,
172,Paula Heil,Person,New York,Millennial Arts,
173,Dennis Hersch,Person,New York,"Davis, Polk & Wardwell",
174,Emanuelle Hess,Person,Neuilly,,
175,Judith Hess,Person,New York,,
176,Ashley Hester,Person,Los Angeles,,
177,Danny  Hillis,Person,Glendale,Walt Disney Imagineering,
178,Charlie Hinson,Person,Columbus,"Limited Store Planning, Inc.",
179,Dr. Hirshfield,Person,,,
180,Heidi Holterbosch,Person,,,
181,Shaunt Hovnanian,Person,Red Bank,Hovanian Grove,
182,Joe Hunter,Person,New York,Ford Models,
183,Ambassador Jon M. Huntsman,Person,Salt Lake City,Huntsman Chemical,
184,Carl Icahn,Person,Mount Kisco,,
185,Darren K. Indyke,Person,New York,,
186,Suzanne Ircha,Person,New York,,
187,Allison Jacobs,Person,New York,,
188,Francis Jardine,Person,Cape Town,,
189,William Jeffers,Person,Chicago,The Industrial Bank of Japan,
190,Pamela Johananoff,Person,Little Rock,,
191,Elizabeth Johnson,Person,New York,,
192,Anton Katz,Person,New York,,
193,John Kelly,Person,Albuquerque,,Attorney General
194,Lainie Kelson,Person,New York,,
195,Christine Kenneally,Person,New York,,
196,Bobby Kennedy,Person,Bedford,,
197,Mary Kennedy,Person,Bedford,,
198,Senator Edward Kennedy,Person,McLean,,
199,Gary Kerney,Person,,,
200,Jack Kessler,Person,New Albany,New Albany Company,
201,Kristina Kincaid,Person,New York,Victoria's Secret,
202,Bruce King,Person,Santa Fe,,Governor - New Mexico
203,Robert Kissen,Person,London,,
204,Robin Klein,Person,Los Angeles,,
205,John Warner Kluge,Person,New York,,
206,Eva Koch,Person,New York,,
207,Mrs. Koppel,Person,,,
208,Jesse Kornbluth,Person,New York,,
209,Charles Kotick,Person,New York,Aronsohn & Berman,
210,Michael Kramer,Person,,,
211,Kristina Kraverica,Person,Los Angeles,,
212,Henry Kravis,Person,New York,"Kohlberg, Kravis & Roberts",
213,Heidi Kucker,Person,New York,Christie's,
214,Lauren Kwintner,Person,New York,,
215,Sean Lancaster,Person,Washington,"Bristol Associates, Inc.",BAC I-II Expert
216,Lanesborough Hotel,Entity,London,,
217,Christina Lange,Person,,,
218,Alice Larkin,Person,New York,Betsy's,
219,Nathan Rabbi Laufer,Person,Teaneck,Wexner Heritage Foundation,
220,Ann Lawesson,Person,Granna,,
221,Christopher Lawford,Person,Katonah,,
222,Jean Lawford,Person,Katonah,,
223,Robin Leach,Person,New York,Leach Entertainment Enterprise,
224,Larry Leeds,Person,New York,Buckingham Research,
225,Elliot H. Levine,Person,New York,,
226,Robin E. Levy,Person,Los Angeles,Elite Talent,
227,Kathy Lindman,Person,New York,,
228,Kenny Lipper,Person,New York,Lipper & Company,
229,Carol Mack,Person,New York,,
230,Earl Mack,Person,New York,,
231,David Mahoney,Person,West Palm Beach,,
232,Bob Mallard,Person,New York,Lehman Brothers,
233,Bruce Margolius,Person,Park City,,
234,Mark Hotel,Entity,New York,,
235,Donald Marron,Person,New York,Paine Webber,
236,Masseuse/Masseur,Miscellaneous,,,
237,Mast Industries,Entity,"Hong Kong, Milan",,Pres. John Welch
238,Ghislaine Maxwell,Person,London,,
239,Mayfair Regent,Entity,,,
240,Thomas C. McMillen,Person,Washington,United States House of Representatives,Congressman
241,Jerry McNamara,Person,,Goldman Sachs,
242,Samantha McQuiston,Person,London,,
243,John Meade,Person,Washington,O'Connor & Hannan,
244,Jerry Merritt,Person,New Albany,"The Limited, Inc.",
245,Mark Middleton,Person,Washington,The White House,
246,Celina Midelfart,Person,Oslo,,
247,Charles Miller,Person,Mamaroneck,Miller & Raved,
248,Howard Millstein,Person,New York,,
249,Paul Millstein,Person,New York,Millstein Properties Corp.,
250,Ross Milroy,Person,Boca Raton,,
251,Steve Minick,Person,New Albany,The New Albany Company,
252,David Mitchell,Person,New York,,
253,George Mitchell,Person,Portland,"Verner, Liipfert, Bernhard, Mc",Special Counsel
254,Larry Mogens,Person,,,
255,Rosa Monckton,Person,London,Tiffany & Co.,
256,Mike Moritz,Person,Columbus,Baker & Hostetler,
257,Nathan Myhrvold,Person,Redmond,Microsoft Corporation,Chief Technology Officer
258,Erin Nance,Person,Athens,,
259,Robert E. Nederlander,Person,New York,"Nederlander Organ, Inc.",
260,New Albany,Entity,New Albany,,
261,New Albany Bath & Tennis Club,Entity,New Albany,,
262,New Albany Country Club,Entity,New Albany,,
263,New Albany Property Investment,Entity,New Albany,,N.A. Property
264,New York Academy of Art,Entity,New York,,
265,Larry Newman,Person,Sand Point,,
266,Larry Esq. Newman,Person,New York,Friedman & Kaplan,
267,Mr. & Mrs. W.A. Nitze,Person,New York,,
268,Robert Nunnery,Person,New York,,U.S. Customs
269,Jack O’Rourke,Person,Washington,,
270,Bob Oatman,Person,Gahanna,"R.L. Oatman & Associates, Inc.",Protective Operation
271,Wayne Owens,Person,Washington,,Congressman
272,Mark Packer,Person,New York,Canastel's,
273,Joel Pashcow,Person,Great Neck,RPS Realty Trust,
274,Stacey Pashcow,Person,New York,,
275,Gabriel Perahia,Person,Geneva,,
276,Marty Peretz,Person,Washington,The New Republic,
277,Ronald Perelman,Person,New York,Revlon,
